bbl loader

 FFT 1024
X[216] -> REAL: 144.067 , IMG: 1168.067 
X[217] -> REAL: 139.934 , IMG: 1163.934 
X[218] -> REAL: 135.832 , IMG: 1159.832 
X[219] -> REAL: 131.762 , IMG: 1155.762 
X[220] -> REAL: 127.724 , IMG: 1151.724 
X[221] -> REAL: 123.716 , IMG: 1147.716 
X[222] -> REAL: 119.739 , IMG: 1143.739 
X[223] -> REAL: 115.792 , IMG: 1139.792 
X[224] -> REAL: 111.874 , IMG: 1135.874 
X[225] -> REAL: 107.985 , IMG: 1131.985 
X[226] -> REAL: 104.126 , IMG: 1128.126 
X[227] -> REAL: 100.294 , IMG: 1124.294 
X[228] -> REAL: 96.491 , IMG: 1120.491 
X[229] -> REAL: 92.715 , IMG: 1116.715 
X[230] -> REAL: 88.967 , IMG: 1112.967 
X[231] -> REAL: 85.245 , IMG: 1109.245 
X[232] -> REAL: 81.550 , IMG: 1105.550 
X[233] -> REAL: 77.881 , IMG: 1101.881 
X[234] -> REAL: 74.239 , IMG: 1098.239 
X[235] -> REAL: 70.621 , IMG: 1094.621 
X[236] -> REAL: 67.029 , IMG: 1091.029 
X[237] -> REAL: 63.461 , IMG: 1087.461 
X[238] -> REAL: 59.918 , IMG: 1083.918 
X[239] -> REAL: 56.400 , IMG: 1080.400 
X[240] -> REAL: 52.905 , IMG: 1076.905 
X[241] -> REAL: 49.434 , IMG: 1073.434 
X[242] -> REAL: 45.986 , IMG: 1069.986 
X[243] -> REAL: 42.561 , IMG: 1066.561 
X[244] -> REAL: 39.158 , IMG: 1063.158 
X[245] -> REAL: 35.779 , IMG: 1059.779 
X[246] -> REAL: 32.421 , IMG: 1056.421 
X[247] -> REAL: 29.085 , IMG: 1053.085 
X[248] -> REAL: 25.770 , IMG: 1049.770 
X[249] -> REAL: 22.477 , IMG: 1046.477 
X[250] -> REAL: 19.205 , IMG: 1043.205 
X[251] -> REAL: 15.954 , IMG: 1039.954 
X[252] -> REAL: 12.723 , IMG: 1036.723 
X[253] -> REAL: 9.513 , IMG: 1033.513 
X[254] -> REAL: 6.322 , IMG: 1030.322 
X[255] -> REAL: 3.151 , IMG: 1027.151 
X[256] -> REAL: 0.000 , IMG: 1024.000 
X[257] -> REAL: -3.132 , IMG: 1020.868 
X[258] -> REAL: -6.245 , IMG: 1017.755 
X[259] -> REAL: -9.339 , IMG: 1014.661 
X[260] -> REAL: -12.415 , IMG: 1011.585 
X[261] -> REAL: -15.472 , IMG: 1008.528 
X[262] -> REAL: -18.511 , IMG: 1005.489 
X[263] -> REAL: -21.532 , IMG: 1002.468 
X[264] -> REAL: -24.535 , IMG: 999.465 
X[265] -> REAL: -27.521 , IMG: 996.479 
X[266] -> REAL: -30.490 , IMG: 993.510 
X[267] -> REAL: -33.442 , IMG: 990.558 
X[268] -> REAL: -36.376 , IMG: 987.624 
