bbl loader

 FFT 1024
X[216] -> REAL: 144.067 , IMG: 1168.067 
X[217] -> REAL: 0.000 , IMG: 0.000 
X[218] -> REAL: 1242.000 , IMG: 808.000 
X[219] -> REAL: 0.000 , IMG: 0.000 
X[220] -> REAL: 127.724 , IMG: 1151.724 
X[221] -> REAL: 0.000 , IMG: 0.000 
X[222] -> REAL: 1498.000 , IMG: 552.000 
X[223] -> REAL: 0.000 , IMG: 0.000 
X[224] -> REAL: 111.874 , IMG: 1135.874 
X[225] -> REAL: 0.000 , IMG: 0.000 
X[226] -> REAL: 1082.000 , IMG: 968.000 
X[227] -> REAL: 0.000 , IMG: 0.000 
X[228] -> REAL: 96.491 , IMG: 1120.491 
X[229] -> REAL: 0.000 , IMG: 0.000 
X[230] -> REAL: 1338.000 , IMG: 712.000 
X[231] -> REAL: 0.000 , IMG: 0.000 
X[232] -> REAL: 81.550 , IMG: 1105.550 
X[233] -> REAL: 0.000 , IMG: 0.000 
X[234] -> REAL: 1210.000 , IMG: 840.000 
X[235] -> REAL: 0.000 , IMG: 0.000 
X[236] -> REAL: 67.029 , IMG: 1091.029 
X[237] -> REAL: 0.000 , IMG: 0.000 
X[238] -> REAL: 1466.000 , IMG: 584.000 
X[239] -> REAL: 0.000 , IMG: 0.000 
X[240] -> REAL: 52.905 , IMG: 1076.905 
X[241] -> REAL: 0.000 , IMG: 0.000 
X[242] -> REAL: 1146.000 , IMG: 904.000 
X[243] -> REAL: 0.000 , IMG: 0.000 
X[244] -> REAL: 39.158 , IMG: 1063.158 
X[245] -> REAL: 0.000 , IMG: 0.000 
X[246] -> REAL: 1402.000 , IMG: 648.000 
X[247] -> REAL: 0.000 , IMG: 0.000 
X[248] -> REAL: 25.770 , IMG: 1049.770 
X[249] -> REAL: 0.000 , IMG: 0.000 
X[250] -> REAL: 1274.000 , IMG: 776.000 
X[251] -> REAL: 0.000 , IMG: 0.000 
X[252] -> REAL: 12.723 , IMG: 1036.723 
X[253] -> REAL: 0.000 , IMG: 0.000 
X[254] -> REAL: 1530.000 , IMG: 520.000 
X[255] -> REAL: 0.000 , IMG: 0.000 
X[256] -> REAL: 0.000 , IMG: 1024.000 
X[257] -> REAL: 0.000 , IMG: 0.000 
X[258] -> REAL: 1030.000 , IMG: 1020.000 
X[259] -> REAL: 0.000 , IMG: 0.000 
X[260] -> REAL: -12.415 , IMG: 1011.585 
X[261] -> REAL: 0.000 , IMG: 0.000 
X[262] -> REAL: 1286.000 , IMG: 764.000 
X[263] -> REAL: 0.000 , IMG: 0.000 
X[264] -> REAL: -24.535 , IMG: 999.465 
X[265] -> REAL: 0.000 , IMG: 0.000 
X[266] -> REAL: 1158.000 , IMG: 892.000 
X[267] -> REAL: 0.000 , IMG: 0.000 
X[268] -> REAL: -36.376 , IMG: 987.624 
X[269] -> REAL: 0.000 , IMG: 0.000 
X[270] -> REAL: 1414.000 , IMG: 636.000 
X[271] -> REAL: 0.000 , IMG: 0.000 
X[272] -> REAL: -47.950 , IMG: 976.050 
X[273] -> REAL: 0.000 , IMG: 0.000 
X[274] -> REAL: 1094.000 , IMG: 956.000 
X[275] -> REAL: 0.000 , IMG: 0.000 
X[276] -> REAL: -59.270 , IMG: 964.730 
X[277] -> REAL: 0.000 , IMG: 0.000 
X[278] -> REAL: 1350.000 , IMG: 700.000 
X[279] -> REAL: 0.000 , IMG: 0.000 
X[280] -> REAL: -70.346 , IMG: 953.654 
X[281] -> REAL: 0.000 , IMG: 0.000 
X[282] -> REAL: 1222.000 , IMG: 828.000 
X[283] -> REAL: 0.000 , IMG: 0.000 
X[284] -> REAL: -81.190 , IMG: 942.810 
X[285] -> REAL: 0.000 , IMG: 0.000 
X[286] -> REAL: 1478.000 , IMG: 572.000 
X[287] -> REAL: 0.000 , IMG: 0.000 
X[288] -> REAL: -91.812 , IMG: 932.188 
X[289] -> REAL: 0.000 , IMG: 0.000 
X[290] -> REAL: 1062.000 , IMG: 988.000 
X[291] -> REAL: 0.000 , IMG: 0.000 
X[292] -> REAL: -102.223 , IMG: 921.777 
X[293] -> REAL: 0.000 , IMG: 0.000 
X[294] -> REAL: 1318.000 , IMG: 732.000 
X[295] -> REAL: 0.000 , IMG: 0.000 
X[296] -> REAL: -112.431 , IMG: 911.569 
X[297] -> REAL: 0.000 , IMG: 0.000 
X[298] -> REAL: 1190.000 , IMG: 860.000 
X[299] -> REAL: 0.000 , IMG: 0.000 
X[300] -> REAL: -122.446 , IMG: 901.554 
X[301] -> REAL: 0.000 , IMG: 0.000 
X[302] -> REAL: 1446.000 , IMG: 604.000 
X[303] -> REAL: 0.000 , IMG: 0.000 
X[304] -> REAL: -132.275 , IMG: 891.725 
X[305] -> REAL: 0.000 , IMG: 0.000 
X[306] -> REAL: 1126.000 , IMG: 924.000 
X[307] -> REAL: 0.000 , IMG: 0.000 
X[308] -> REAL: -141.927 , IMG: 882.073 
X[309] -> REAL: 0.000 , IMG: 0.000 
X[310] -> REAL: 1382.000 , IMG: 668.000 
X[311] -> REAL: 0.000 , IMG: 0.000 
X[312] -> REAL: -151.409 , IMG: 872.591 
X[313] -> REAL: 0.000 , IMG: 0.000 
X[314] -> REAL: 1254.000 , IMG: 796.000 
X[315] -> REAL: 0.000 , IMG: 0.000 
X[316] -> REAL: -160.729 , IMG: 863.271 
X[317] -> REAL: 0.000 , IMG: 0.000 
X[318] -> REAL: 1510.000 , IMG: 540.000 
X[319] -> REAL: 0.000 , IMG: 0.000 
X[320] -> REAL: -169.893 , IMG: 854.107 
